WAKTU,HONDA
01/01/2021,7231
01/02/2021,6812
01/03/2021,11350
01/04/2021,8474
01/05/2021,5832
01/06/2021,8782
01/07/2021,9030
01/08/2021,7337
01/09/2021,3453
01/10/2021,5861
01/11/2021,7201
01/12/2021,9759
01/01/2022,10883
01/02/2022,11407
01/03/2022,12975
01/04/2022,10149
01/05/2022,8114
01/06/2022,9057
01/07/2022,9599
01/08/2022,11427
01/09/2022,13374
01/10/2022,9962
01/11/2022,11691
01/12/2022,12642
01/01/2023,15287
01/02/2023,13903
01/03/2023,15993
01/04/2023,4673
01/05/2023,10580
01/06/2023,11080
01/07/2023,10160
01/08/2023,10916
01/09/2023,10588
01/10/2023,11307
01/11/2023,10307
01/01/2024,3222.119
01/02/2024,3829.318
01/03/2024,5212.549
01/04/2024,3435
01/05/2024,5055
01/06/2024,2875.069
01/07/2024,3703.054
01/08/2024,3574.084
01/09/2024,4418
01/10/2024,4317.616
01/11/2024,2824.359
01/12/2024,1831.878
01/01/2025,3932.347
01/02/2025,3758.004
01/03/2025,2382.924
01/04/2025,1590.411
01/05/2025,3148
01/06/2025,2360.797
01/07/2025,4171.007
