WAKTU,MITSUBISHI
01/01/2021,9108
01/02/2021,7567
01/03/2021,13088
01/04/2021,13820
01/05/2021,10160
01/06/2021,8277
01/07/2021,13453
01/08/2021,13720
01/09/2021,12200
01/10/2021,13109
01/11/2021,11410
01/12/2021,18211
01/01/2022,14586
01/02/2022,12323
01/03/2022,13299
01/04/2022,12340
01/05/2022,6729
01/06/2022,7890
01/07/2022,11756
01/08/2022,13808
01/09/2022,9461
01/10/2022,9188
01/11/2022,10704
01/12/2022,14654
01/01/2023,9831
01/02/2023,8513
01/03/2023,9174
01/04/2023,6216
01/05/2023,6364
01/06/2023,6200
01/07/2023,6539
01/08/2023,8243
01/09/2023,7036
01/10/2023,6690
01/11/2023,6600
01/01/2024,5076.613
01/02/2024,4349.666
01/03/2024,4708.298
01/04/2024,4898
01/05/2024,5522.211
01/06/2024,4931.16
01/07/2024,5335.011
01/08/2024,6498
01/09/2024,6685
01/10/2024,6064
01/11/2024,6494
01/12/2024,5499.339
01/01/2025,5916.224
01/02/2025,7707.092
01/03/2025,7380
01/04/2025,5197
01/05/2025,5897
01/06/2025,6501
01/07/2025,6121
