WAKTU,TOYOTA
01/01/2021,15474
01/02/2021,14645
01/03/2021,26034
01/04/2021,22618
01/05/2021,17361
01/06/2021,22310
01/07/2021,20950
01/08/2021,28418
01/09/2021,32596
01/10/2021,20633
01/11/2021,32487
01/12/2021,31865
01/01/2022,22493
01/02/2022,24087
01/03/2022,32408
01/04/2022,27284
01/05/2022,12984
01/06/2022,26838
01/07/2022,28829
01/08/2022,30103
01/09/2022,32760
01/10/2022,33153
01/11/2022,25670
01/12/2022,26935
01/01/2023,26696
01/02/2023,24911
01/03/2023,25678
01/04/2023,18134
01/05/2023,22004
01/06/2023,20326
01/07/2023,23954
01/08/2023,25088
01/09/2023,21017
01/10/2023,21298
01/11/2023,24622
01/01/2024,10366.353
01/02/2024,10770.845
01/03/2024,12301.583
01/04/2024,9116.144
01/05/2024,9445.956
01/06/2024,10798.472
01/07/2024,13457.905
01/08/2024,11031.562
01/09/2024,9911.21
01/10/2024,10008.012
01/11/2024,11404.092
01/12/2024,11571.896
01/01/2025,14236.853
01/02/2025,16225.18
01/03/2025,13711.773
01/04/2025,13779.3
01/05/2025,9313.266
01/06/2025,8712.383
01/07/2025,7617.122
