WAKTU,INFLASI,SUKU_BUNGA,COVID19,DISKONPPNBM,PDB
01/01/2021,1.55,3.75,1,0,
01/02/2021,1.38,3.5,1,0,
01/03/2021,1.37,3.5,1,1,-0.7
01/04/2021,1.42,3.5,1,1,
01/05/2021,1.68,3.5,1,1,
01/06/2021,1.33,3.5,1,1,7.07
01/07/2021,1.52,3.5,1,1,
01/08/2021,1.59,3.5,1,1,
01/09/2021,1.6,3.5,1,1,3.51
01/10/2021,1.66,3.5,1,1,
01/11/2021,1.75,3.5,1,1,
01/12/2021,1.87,3.5,1,1,5.02
01/01/2022,2.18,3.5,1,0,
01/02/2022,2.06,3.5,1,0,
01/03/2022,2.64,3.5,1,0,5.02
01/04/2022,3.47,3.5,1,0,
01/05/2022,3.55,3.5,1,0,
01/06/2022,4.35,3.5,1,0,5.45
01/07/2022,4.94,3.5,1,0,
01/08/2022,4.69,3.75,1,0,
01/09/2022,5.95,4.25,1,0,5.72
01/10/2022,5.71,4.75,1,0,
01/11/2022,5.42,5.25,1,0,
01/12/2022,5.51,5.5,1,0,5.01
01/01/2023,5.28,5.75,1,0,
01/02/2023,5.47,5.75,1,0,
01/03/2023,4.97,5.75,1,0,5.04
01/04/2023,4.33,5.75,1,0,
01/05/2023,4,5.75,1,0,
01/06/2023,3.52,5.75,1,0,5.17
01/07/2023,3.08,5.75,0,0,
01/08/2023,3.27,5.75,0,0,
01/09/2023,2.28,5.75,0,0,4.94
01/10/2023,2.56,6,0,0,
01/11/2023,2.86,6,0,0,
01/12/2023,2.61,6,0,0,5.04
01/01/2024,2.57,6,0,0,
01/02/2024,2.75,6,0,0,
01/03/2024,3.05,6,0,0,5.11
01/04/2024,3,6.25,0,0,
01/05/2024,2.84,6.25,0,0,
01/06/2024,2.51,6.25,0,0,5.05
01/07/2024,2.13,6.25,0,0,
01/08/2024,2.12,6.25,0,0,
01/09/2024,1.84,6,0,0,4.95
01/10/2024,1.71,6,0,0,
01/11/2024,1.55,6,0,0,
01/12/2024,1.57,6,0,0,5.02
01/01/2025,0.76,5.75,0,0,
01/02/2025,-0.09,5.75,0,0,
01/03/2025,1.03,5.75,0,0,4.87
01/04/2025,1.95,5.75,0,0,
01/05/2025,1.6,5.5,0,0,
01/06/2025,1.87,5.5,0,0,5.12
01/07/2025,2.37,5.25,0,0,
