WAKTU,SUKU_BUNGA
01/01/2021,3.75
01/02/2021,3.50
01/03/2021,3.50
01/04/2021,3.50
01/05/2021,3.50
01/06/2021,3.50
01/07/2021,3.50
01/08/2021,3.50
01/09/2021,3.50
01/10/2021,3.50
01/11/2021,3.50
01/12/2021,3.50
01/01/2022,3.50
01/02/2022,3.50
01/03/2022,3.50
01/04/2022,3.50
01/05/2022,3.50
01/06/2022,3.50
01/07/2022,3.50
01/08/2022,3.75
01/09/2022,4.25
01/10/2022,4.75
01/11/2022,5.25
01/12/2022,5.50
01/01/2023,5.75
01/02/2023,5.75
01/03/2023,5.75
01/04/2023,5.75
01/05/2023,5.75
01/06/2023,5.75
01/07/2023,5.75
01/08/2023,5.75
01/09/2023,5.75
01/10/2023,6.00
01/11/2023,6.00
01/12/2023,6.00
01/01/2024,6.00
01/02/2024,6.00
01/03/2024,6.00
01/04/2024,6.25
01/05/2024,6.25
01/06/2024,6.25
01/07/2024,6.25
01/08/2024,6.25
01/09/2024,6.00
01/10/2024,6.00
01/11/2024,6.00
01/12/2024,6.00
01/01/2025,5.75
01/02/2025,5.75
01/03/2025,5.75
01/04/2025,5.75
01/05/2025,5.50
01/06/2025,5.50
01/07/2025,5.25
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
#REF!,
