WAKTU,DAIHATSU
01/01/2021,8993
01/02/2021,9412
01/03/2021,16770
01/04/2021,15861
01/05/2021,8310
01/06/2021,15481
01/07/2021,9284
01/08/2021,14408
01/09/2021,17529
01/10/2021,17020
01/11/2021,16045
01/12/2021,15795
01/01/2022,17660
01/02/2022,14638
01/03/2022,16969
01/04/2022,15533
01/05/2022,6981
01/06/2022,16764
01/07/2022,15673
01/08/2022,15282
01/09/2022,18472
01/10/2022,17089
01/11/2022,20496
01/12/2022,23165
01/01/2023,12684
01/02/2023,10970
01/03/2023,13637
01/04/2023,7596
01/05/2023,10712
01/06/2023,10917
01/07/2023,8611
01/08/2023,9568
01/09/2023,8594
01/10/2023,8208
01/11/2023,7466
01/12/2023,7178
01/01/2024,7348
01/02/2024,6021
01/03/2024,6592
01/04/2024,7510
01/05/2024,9337
01/06/2024,7717
01/07/2024,7908
01/08/2024,7985
01/09/2024,7941
01/10/2024,7210
01/11/2024,7145
01/12/2024,7222
01/01/2025,5755
01/02/2025,7127
01/03/2025,6372
01/04/2025,6076
01/05/2025,7538
01/06/2025,5992
01/07/2025,6354
